Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
273842683933991,2017-02-15,,2017-02-15,9. Как user я могу удалить слово из личного словаря.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232011,2017-02-07,,2017-02-07,1. Как гость я могу зарегистрироваться в системе.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232013,2017-02-07,,2017-02-15,2. Как user я могу войти в систему под ранее созданной учетной записью.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232015,2017-02-07,,2017-02-07,3. Как user я могу изменить данные своей учетной записи.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232017,2017-02-07,,2017-02-07,4. Как user я могу удалить свою учетную запись и перестать быть пользователем.(?),,,,,Thesaurus (Личный словарь иностранных слов),
266209635232021,2017-02-07,,2017-02-15,5.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря,,,,,Thesaurus (Личный словарь иностранных слов),
273623867438388,2017-02-15,,2017-02-15,a) Загрузить изображение для слова.,,,,,,5.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря
273623867438391,2017-02-15,,2017-02-15,b) Отметить слово как выученное.,,,,,,5.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря
273623867438393,2017-02-15,,2017-02-15,c) Добавить в общий словарь (share word),,,,,,5.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря
266209635232023,2017-02-07,,2017-02-15,"7. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь.",,,,,Thesaurus (Личный словарь иностранных слов),
273842683933993,2017-02-15,,2017-02-15,"7.1.  как user я могу внести в карточку слова  само слово, транскрипцию, перевод, ассоциации на слово, слово в контексте;",,,,,,"7. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933994,2017-02-15,,2017-02-15,7.2. как user я могу внести в карточку изображения или фото на слово;,,,,,,"7. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933995,2017-02-15,,2017-02-15,"7.3. как user я могу в карточке слова  отметить слово, как выученное;",,,,,,"7. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933996,2017-02-15,,2017-02-15,"7.4. как user я могу в карточке слова отметить слово, как общее.",,,,,,"7. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
266209635232025,2017-02-07,,2017-02-15,8. Как user я могу редактировать слово из личного словаря.,,,,Как user я могу редактировать слово из личного словаря.,Thesaurus (Личный словарь иностранных слов),
266209635232027,2017-02-07,,2017-02-15,6.  Как user я могу посмотреть список иностранных слов с детальным описанием из общего словаря.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232033,2017-02-07,,2017-02-15,"10. Как user я могу просмотреть список-напоминание из слов, отмеченных как выученные, которые необходимо повторять,
   по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;
",,,,,Thesaurus (Личный словарь иностранных слов),
266209635232035,2017-02-07,,2017-02-15,11. Как admin я могу создавать тему для слов.,,,,,Thesaurus (Личный словарь иностранных слов),
273560119484831,2017-02-15,,2017-02-15,"12. Как admin я могу искать пользователей по имени или email, без учета регистра",,,,,Thesaurus (Личный словарь иностранных слов),
266209635232039,2017-02-07,,2017-02-07,1. Как user я могу отсортировать список слов по алфавиту.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232045,2017-02-07,,2017-02-07,2. Как user я могу вывесты все выученные/невыученные слова.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232041,2017-02-07,,2017-02-07,3. Как user я могу вывесты все слова по темам.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232043,2017-02-07,,2017-02-07,4. Как user я могу искать слово в личном/общем словаре.,,,,,Thesaurus (Личный словарь иностранных слов),
266209635232037,2017-02-07,,2017-02-15,5. Как admin я могу деактивировать учетную запись пользователя. ,,,,,Thesaurus (Личный словарь иностранных слов),
261535319012331,2017-02-02,,2017-02-04,"ТЗ - ""Личный словарь иностранных слов"" ",,,,"Техзадание на проект ""Личный словарь иностранных слов"".

Обязательная часть:

1) регистрация пользователей. Назначить права для пользователя так, что каждый пользователь должен иметь доступ только к общему и его персональному словарю;

2) пользователь может создавать карточку на слово, формируя свой личный словарь. Карточка содержит информацию о - слово, транскрипция, перевод, ассоциации на слово, это слово в контексте, возможность загружать свои изображения или фото на слово. В карточке пользователь может отметить слово, как выученное;

3) для пользователя формируется и выводится список-напоминание из слов, отмеченных как выученные, которые необходимо повторять, по правилу - в тот же день, на следующий день, раз в неделю, раз в месяц, раз в квартал, раз в полгода, раз в год;


Дополнительная часть:

4) модуль проверки знания пользователем выученных слов;
5) модуль заучивания правописания слова;
6) предоставить пользователям возможность делится персональным словарем или конкретной карточкой слова друг с другом;
7) добавлять слово в словарь по клику и выделению на других сайтах;
8) поиск нужного слова в словаре;
9) если пользователь не зашел на сайт и пропустил время повторения слов то они отсылаются ему на имейл.
10) вывести все выученные слова или не выученные, вывести по темам",Thesaurus (Личный словарь иностранных слов),
