Task ID,Created At,Completed At,Last Modified,Name,Assignee,Due Date,Tags,Notes,Projects,Parent Task
286362175006481,2017-03-06,,2017-03-12,10. Admin page,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184230,2017-03-12,,2017-03-12,10.1. b-e part. Как admin я могу полугить данные пользователей с сервера,,,,,,10. Admin page
292350426184231,2017-03-12,,2017-03-12,"10.2. b-e part. Как admin я могу искать пользователей по имени или email, без учета регистра на сервере",,,,,,10. Admin page
292350426184232,2017-03-12,,2017-03-12,10.1. f-e part. Как admin я могу просмотреть данные пользователей,Ruslana Podshyvalova,,,,,10. Admin page
292350426184233,2017-03-12,,2017-03-12,"10.2. f-e part. Как admin я могу просмотреть данные пользователей по имени или email, без учета регистра",Ruslana Podshyvalova,,,,,10. Admin page
292350426184234,2017-03-12,,2017-03-12,10.2. f-e part. Как admin я могу ввести тему для слов и отправить ее на сервер,Ruslana Podshyvalova,,,,,10. Admin page
266209635232011,2017-02-07,,2017-03-13,1. Как гость я могу зарегистрироваться в системе.,Olha Bezpalchuk,,,,Thesaurus (Личный словарь иностранных слов),
285685390505350,2017-03-12,2017-03-13,2017-03-13," 1.1 f-e part. Как гость я могу заполнить форму регистрации, пройти валидацию регистрационных данных и отправить данные на сервер.",Ruslana Podshyvalova,,,,,1. Как гость я могу зарегистрироваться в системе.
285685390505351,2017-03-12,,2017-03-12,1.2 b-e part. Как гость я могу хранить свои регистрационные данные на сервере.,Olha Bezpalchuk,,,,,1. Как гость я могу зарегистрироваться в системе.
266209635232013,2017-02-07,,2017-03-13,2. Как user я могу войти в систему под ранее созданной учетной записью.,Olha Bezpalchuk,,,,Thesaurus (Личный словарь иностранных слов),
292350426184199,2017-03-12,2017-03-13,2017-03-13," 2.1. f-e part. Как user, я могу отправить на сервер свои данные через форму авторизации для авторизации.",Ruslana Podshyvalova,,,,,2. Как user я могу войти в систему под ранее созданной учетной записью.
292350426184200,2017-03-12,,2017-03-12,2.2 b-e part. Как user я могу пройти авторизацию на сервере.,Olha Bezpalchuk,,,,,2. Как user я могу войти в систему под ранее созданной учетной записью.
266209635232015,2017-02-07,,2017-03-12,5. Как user я имею доступ к данным своей учетной записи и могу редактировать их.,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184201,2017-03-12,,2017-03-12,"5.1. f-e part. Как user я могу просматривать, редактировать/удалить данные своей учетной записи.",Ruslana Podshyvalova,,,,,5. Как user я имею доступ к данным своей учетной записи и могу редактировать их.
292350426184203,2017-03-12,,2017-03-12,"5.2 b-e part. Как user я могу загрузить свой profile с сервера, изменить и сохранить  данные своей учетной записи на сервер.",,,,,,5. Как user я имею доступ к данным своей учетной записи и могу редактировать их.
266209635232021,2017-02-07,,2017-03-12,4.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря,Ruslana Podshyvalova,,,,Thesaurus (Личный словарь иностранных слов),
292350426184204,2017-03-12,,2017-03-12,4.1. f-e part. Как user я могу посмотреть список иностранных слов.,Ruslana Podshyvalova,,,,,4.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря
292350426184205,2017-03-12,,2017-03-12,4.2 b-e part. Как user я могу получить список иностранных слов с сервера.,,,,,,4.  Как user я могу посмотреть список иностранных слов с детальным описанием из своего личного словаря
266209635232023,2017-02-07,,2017-03-12,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь.",bezpalchukv@gmail.com,,,,Thesaurus (Личный словарь иностранных слов),
292350426184207,2017-03-12,,2017-03-12,3.1. b-e part. Как user я могу сохранить добавленное новое слово в словарь на сервере. ,,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933993,2017-02-15,,2017-03-12,"3.1.1. b-e part.  Как user я могу сохранить карточку слова:  само слово, транскрипцию, перевод, ассоциации на слово, слово в контексте на сервере;",bezpalchukv@gmail.com,2017-03-14,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933994,2017-02-15,,2017-03-12,3.1.2 b-e part.  Как user я могу  сохранить изображение или фото на слово на сервере;,,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933995,2017-02-15,,2017-03-12,"3.1.3. b-e part. Как user я могу  сохранить слово, как выученное на сервере;",,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
273842683933996,2017-02-15,,2017-03-12,"3.1.4. b-e part. Как user я могу сохранить слово, как общее на сервере.",,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
292350426184208,2017-03-12,,2017-03-12,"3.2.  f-e part. Как user, я могу отправить добавленное новое слово в словарь на сервер.",Ruslana Podshyvalova,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
292350426184209,2017-03-12,,2017-03-12,"3.2.1.  f-e part. Как user я могу внести в карточку слова  само слово, транскрипцию, перевод, ассоциации на слово, слово в контексте, отметить слово, как выученное, отметить слово, как общее и отправить на сервер;",Ruslana Podshyvalova,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
292350426184210,2017-03-12,,2017-03-12,3.2.2.  f-e part.  Как user я могу внести в карточку изображения или фото на слово и отправить на сервер.,Ruslana Podshyvalova,,,,,"3. Как user я могу добавлять новое слово в словарь, создая карточку на слово, формируя свой личный словарь."
266209635232025,2017-02-07,,2017-03-12,7. Как user я могу редактировать слово из личного словаря.,,,,Как user я могу редактировать слово из личного словаря.,Thesaurus (Личный словарь иностранных слов),
292350426184213,2017-03-12,,2017-03-12,7.1. f-e part. Как user я могу редактировать/удалить слово из личного словаря и отправить изменения на сервер.,Ruslana Podshyvalova,,,,,7. Как user я могу редактировать слово из личного словаря.
292350426184214,2017-03-12,,2017-03-12,7.2 b-e part. Как user я могу сохранить внесенные изменения для слова из личного словаря на сервере.,,,,,,7. Как user я могу редактировать слово из личного словаря.
266209635232027,2017-02-07,,2017-03-12,6.  Как user я могу посмотреть список иностранных слов с детальным описанием из общего словаря.,,,,,Thesaurus (Личный словарь иностранных слов),
292350426184211,2017-03-12,,2017-03-12,6.1. f-e part. Как user я могу просмотреть список иностранных слов из общего словаря.,Ruslana Podshyvalova,,,,,6.  Как user я могу посмотреть список иностранных слов с детальным описанием из общего словаря.
